"subject","condition_num","time_bin","condition","fix","total_fix"
"11795375",0.5,1900,"cohort",0,8
"11795376",-0.5,-100,"unrelated",20,86
"11795376",-0.5,0,"unrelated",29,91
"11795376",-0.5,100,"unrelated",24,78
"11795376",-0.5,200,"unrelated",22,81
"11795376",-0.5,300,"unrelated",29,96
"11795376",-0.5,400,"unrelated",19,91
"11795376",-0.5,500,"unrelated",18,96
"11795376",-0.5,600,"unrelated",12,86
"11795376",-0.5,700,"unrelated",10,82
"11795376",-0.5,800,"unrelated",6,80
"11795376",-0.5,900,"unrelated",1,74
"11795376",-0.5,1000,"unrelated",3,57
"11795376",-0.5,1100,"unrelated",4,39
"11795376",-0.5,1200,"unrelated",1,26
"11795376",-0.5,1300,"unrelated",0,14
"11795376",-0.5,1400,"unrelated",0,11
"11795376",-0.5,1500,"unrelated",1,14
"11795376",-0.5,1600,"unrelated",0,3
"11795376",-0.5,1700,"unrelated",0,1
"11795376",-0.5,1800,"unrelated",0,2
"11795376",0.5,-100,"cohort",36,86
"11795376",0.5,0,"cohort",28,91
"11795376",0.5,100,"cohort",20,78
"11795376",0.5,200,"cohort",26,81
"11795376",0.5,300,"cohort",31,96
"11795376",0.5,400,"cohort",28,91
"11795376",0.5,500,"cohort",23,96
"11795376",0.5,600,"cohort",13,86
"11795376",0.5,700,"cohort",7,82
"11795376",0.5,800,"cohort",7,80
"11795376",0.5,900,"cohort",1,74
"11795376",0.5,1000,"cohort",6,57
"11795376",0.5,1100,"cohort",5,39
"11795376",0.5,1200,"cohort",3,26
"11795376",0.5,1300,"cohort",0,14
"11795376",0.5,1400,"cohort",1,11
"11795376",0.5,1500,"cohort",4,14
"11795376",0.5,1600,"cohort",0,3
"11795376",0.5,1700,"cohort",0,1
"11795376",0.5,1800,"cohort",0,2
"11795382",-0.5,-100,"unrelated",27,106
"11795382",-0.5,0,"unrelated",28,102
"11795382",-0.5,100,"unrelated",41,102
"11795382",-0.5,200,"unrelated",35,107
"11795382",-0.5,300,"unrelated",29,98
"11795382",-0.5,400,"unrelated",14,99
"11795382",-0.5,500,"unrelated",2,88
"11795382",-0.5,600,"unrelated",7,81
"11795382",-0.5,700,"unrelated",9,66
"11795382",-0.5,800,"unrelated",4,50
"11795382",-0.5,900,"unrelated",0,32
"11795382",-0.5,1000,"unrelated",0,18
"11795382",-0.5,1100,"unrelated",0,8
"11795382",-0.5,1200,"unrelated",0,6
"11795382",-0.5,1300,"unrelated",0,6
"11795382",-0.5,1400,"unrelated",0,3
"11795382",0.5,-100,"cohort",25,106
"11795382",0.5,0,"cohort",19,102
"11795382",0.5,100,"cohort",21,102
"11795382",0.5,200,"cohort",25,107
"11795382",0.5,300,"cohort",22,98
"11795382",0.5,400,"cohort",18,99
"11795382",0.5,500,"cohort",18,88
"11795382",0.5,600,"cohort",11,81
